Rank,City,Population,Land Mass
1,"New York City, NY",1515301,
2,"Chicago, IL",1099850,
3,"Philadelphia, PA",1046964,
4,"Brooklyn, NY",806343,
5,"St. Louis, MO",451770,
6,"Boston, MA",448477,
7,"Baltimore, MD",434439,
8,"San Francisco, CA",298997,
9,"Cincinnati, OH",296908,
10,"Cleveland, OH",261353,
11,"Buffalo, NY",255664,
12,"New Orleans, LA",242039,
13,"Pittsburgh, PA",238617,
14,"Washington, DC",230392,
15,"Detroit, MI",205876,
16,"Milwaukee, WI",204468,
17,"Newark, NJ",181830,
18,"Minneapolis, MN",164738,
19,"Jersey City, NJ",163003,
20,"Louisville, KY",161129,
21,"Omaha, NE",140452,
22,"Rochester, NY",133896,
23,"St. Paul, MN",133156,
24,"Kansas City, MO",132716,
25,"Providence, RI",132146,
